date,area,average_price,code,houses_sold,no_of_crimes
2001-01-01,city of london,284262,E09000001,24.0,0.0
2001-02-01,city of london,198137,E09000001,37.0,0.0
2001-03-01,city of london,189033,E09000001,44.0,0.0
2001-04-01,city of london,205494,E09000001,38.0,0.0
2001-05-01,city of london,223459,E09000001,30.0,0.0
2001-06-01,city of london,242435,E09000001,36.0,0.0
2001-07-01,city of london,230700,E09000001,40.0,0.0
2001-08-01,city of london,231632,E09000001,30.0,0.0
2001-09-01,city of london,229806,E09000001,30.0,0.0
2001-10-01,city of london,263887,E09000001,26.0,0.0
2001-11-01,city of london,346458,E09000001,15.0,0.0
2001-12-01,city of london,362204,E09000001,17.0,0.0
2002-01-01,city of london,344239,E09000001,30.0,0.0
2002-02-01,city of london,284015,E09000001,12.0,0.0
2002-03-01,city of london,253697,E09000001,47.0,0.0
2002-04-01,city of london,245313,E09000001,31.0,0.0
2002-05-01,city of london,227281,E09000001,30.0,0.0
2002-06-01,city of london,253130,E09000001,25.0,0.0
2002-07-01,city of london,262428,E09000001,26.0,0.0
2002-08-01,city of london,274016,E09000001,51.0,0.0
2002-09-01,city of london,277047,E09000001,49.0,0.0
2002-10-01,city of london,271941,E09000001,19.0,0.0
2002-11-01,city of london,280283,E09000001,28.0,0.0
2002-12-01,city of london,262197,E09000001,44.0,0.0
2003-01-01,city of london,261645,E09000001,32.0,0.0
2003-02-01,city of london,263992,E09000001,20.0,0.0
2003-03-01,city of london,291969,E09000001,31.0,0.0
2003-04-01,city of london,295174,E09000001,30.0,0.0
2003-05-01,city of london,284860,E09000001,38.0,0.0
2003-06-01,city of london,267208,E09000001,84.0,0.0
2003-07-01,city of london,260204,E09000001,48.0,0.0
2003-08-01,city of london,245449,E09000001,46.0,0.0
2003-09-01,city of london,243184,E09000001,38.0,0.0
2003-10-01,city of london,252980,E09000001,33.0,0.0
2003-11-01,city of london,277515,E09000001,42.0,0.0
2003-12-01,city of london,305556,E09000001,38.0,0.0
2004-01-01,city of london,326913,E09000001,98.0,0.0
2004-02-01,city of london,301092,E09000001,16.0,0.0
2004-03-01,city of london,272731,E09000001,20.0,0.0
2004-04-01,city of london,269514,E09000001,25.0,0.0
2004-05-01,city of london,280062,E09000001,22.0,0.0
2004-06-01,city of london,297421,E09000001,38.0,0.0
2004-07-01,city of london,298293,E09000001,34.0,0.0
2004-08-01,city of london,307094,E09000001,46.0,0.0
2004-09-01,city of london,305126,E09000001,27.0,0.0
2004-10-01,city of london,289912,E09000001,24.0,0.0
2004-11-01,city of london,333075,E09000001,13.0,0.0
2004-12-01,city of london,331161,E09000001,14.0,0.0
2005-01-01,city of london,330363,E09000001,17.0,0.0
2005-02-01,city of london,288867,E09000001,18.0,0.0
2005-03-01,city of london,304851,E09000001,18.0,0.0
2005-04-01,city of london,317398,E09000001,32.0,0.0
2005-05-01,city of london,311442,E09000001,20.0,0.0
2005-06-01,city of london,282866,E09000001,33.0,0.0
2005-07-01,city of london,283641,E09000001,29.0,0.0
2005-08-01,city of london,305351,E09000001,26.0,0.0
2005-09-01,city of london,310906,E09000001,37.0,0.0
2005-10-01,city of london,338837,E09000001,14.0,0.0
2005-11-01,city of london,327256,E09000001,29.0,0.0
2005-12-01,city of london,339626,E09000001,30.0,0.0
2006-01-01,city of london,316121,E09000001,19.0,0.0
2006-02-01,city of london,323653,E09000001,17.0,0.0
2006-03-01,city of london,325106,E09000001,28.0,0.0
2006-04-01,city of london,319580,E09000001,24.0,0.0
2006-05-01,city of london,313126,E09000001,22.0,0.0
2006-06-01,city of london,304977,E09000001,29.0,0.0
