userId;date;trafficSource;cost;value
user_10;2020-01-05;telegram / posts;15.75;215
user_10000;2020-01-17;yandex / cpc;8.5;0
user_10000;2020-01-19;google / cpc;8.25;0
user_1002;2020-01-03;telegram / posts;15.75;0
user_1003;2020-01-08;google / cpc;8.25;0
user_1003;2020-01-10;yandex / cpc;8.5;0
user_1004;2020-01-05;telegram / posts;15.75;0
user_1004;2020-01-14;facebook / video;10.25;0
user_1005;2020-01-16;facebook / video;10.25;0
user_1007;2020-01-04;telegram / posts;15.75;0
user_1008;2020-01-09;yandex / cpc;8.5;165
user_1011;2020-01-05;facebook / video;10.25;0
user_1011;2020-01-09;google / cpc;8.25;62.5
user_1012;2020-01-07;yandex / cpc;8.5;0
user_1013;2020-01-03;google / cpc;8.25;0
user_1015;2020-01-04;telegram / posts;15.75;0
user_1015;2020-01-06;google / cpc;8.25;0
user_1015;2020-01-24;facebook / video;10.25;0
user_1016;2020-01-03;facebook / video;10.25;72.5
user_1016;2020-01-15;yandex / cpc;8.5;235
user_1016;2020-01-15;yandex / cpc;8.5;0
user_1019;2020-01-05;facebook / video;10.25;0
user_1020;2020-01-03;facebook / video;10.25;0
user_1020;2020-01-16;telegram / posts;15.75;0
user_1021;2020-01-03;google / cpc;8.25;0
user_1022;2020-01-03;yandex / cpc;8.5;202.5
user_1023;2020-02-02;facebook / video;10.25;0
user_1025;2020-01-14;google / cpc;8.25;0
user_1027;2020-01-04;facebook / video;10.25;0
user_1027;2020-01-08;telegram / posts;15.75;232.5
user_1028;2020-01-06;google / cpc;8.25;0
user_103;2020-01-03;facebook / video;10.25;0
user_1030;2020-01-09;google / cpc;8.25;242.5
user_1030;2020-01-21;telegram / posts;15.75;205
user_1030;2020-01-24;telegram / posts;15.75;0
user_1031;2020-01-09;facebook / video;10.25;0
user_1032;2020-01-15;facebook / video;10.25;0
user_1032;2020-01-22;yandex / cpc;8.5;0
user_1034;2020-01-07;facebook / video;10.25;0
user_1034;2020-01-24;facebook / video;10.25;85
user_1035;2020-01-04;telegram / posts;15.75;0
user_1035;2020-01-05;facebook / video;10.25;0
user_1037;2020-01-05;google / cpc;8.25;0
user_1039;2020-01-05;google / cpc;8.25;0
user_104;2020-01-04;google / cpc;8.25;0
user_104;2020-01-22;facebook / video;10.25;0
user_1042;2020-01-09;facebook / video;10.25;0
user_1043;2020-01-03;telegram / posts;15.75;0
user_1044;2020-01-11;vk / display;14.75;0
user_1045;2020-01-14;facebook / video;10.25;0
user_1046;2020-01-04;telegram / posts;15.75;0
user_1046;2020-01-05;facebook / video;10.25;0
user_1048;2020-01-03;telegram / posts;15.75;150
user_1048;2020-01-07;facebook / video;10.25;0
user_105;2020-01-03;google / cpc;8.25;0
user_105;2020-01-04;google / cpc;8.25;0
user_105;2020-01-16;telegram / posts;15.75;0
user_105;2020-01-17;facebook / video;10.25;0
user_1050;2020-01-04;facebook / video;10.25;0
user_1050;2020-01-05;telegram / posts;15.75;0
user_1050;2020-01-07;facebook / video;10.25;0
user_1051;2020-01-04;telegram / posts;15.75;0
user_1051;2020-01-05;yandex / cpc;8.5;0
user_1051;2020-01-06;google / cpc;8.25;0
user_1052;2020-01-06;google / cpc;8.25;0
user_1052;2020-01-14;telegram / posts;15.75;0
user_1053;2020-01-13;facebook / video;10.25;0
user_1054;2020-01-05;google / cpc;8.25;0
user_1055;2020-01-08;facebook / video;10.25;0
user_1055;2020-01-11;facebook / video;10.25;0
user_1056;2020-01-03;telegram / posts;15.75;0
user_1057;2020-01-03;facebook / video;10.25;0
user_1057;2020-01-03;facebook / video;10.25;0
user_1057;2020-01-07;google / cpc;8.25;0
user_1057;2020-01-11;facebook / video;10.25;0
user_1059;2020-01-03;telegram / posts;15.75;0
user_1059;2020-01-14;yandex / cpc;8.5;0
user_106;2020-01-05;telegram / posts;15.75;0
user_1060;2020-01-03;telegram / posts;15.75;0
user_1062;2020-01-13;telegram / posts;15.75;0
user_1064;2020-01-05;yandex / cpc;8.5;0
user_1065;2020-01-04;yandex / cpc;8.5;0
user_1066;2020-01-04;facebook / video;10.25;0
user_1067;2020-01-04;google / cpc;8.25;0
user_1067;2020-01-10;google / cpc;8.25;0
user_1068;2020-01-04;google / cpc;8.25;0
user_1068;2020-01-08;facebook / video;10.25;0
user_1068;2020-01-17;facebook / video;10.25;0
user_107;2020-01-21;telegram / posts;15.75;0
user_1070;2020-01-19;google / cpc;8.25;0
user_1072;2020-01-09;google / cpc;8.25;0
user_1072;2020-01-10;yandex / cpc;8.5;0
user_1072;2020-01-15;facebook / video;10.25;0
user_1074;2020-01-22;google / cpc;8.25;0
user_1075;2020-01-10;telegram / posts;15.75;0
user_1075;2020-01-11;telegram / posts;15.75;0
user_1076;2020-01-11;facebook / video;10.25;0
user_1077;2020-01-14;telegram / posts;15.75;0
user_1078;2020-01-03;google / cpc;8.25;0
user_1079;2020-01-03;yandex / cpc;8.5;0
user_108;2020-01-05;yandex / cpc;8.5;0
user_108;2020-01-07;telegram / posts;15.75;0
user_1081;2020-01-03;facebook / video;10.25;0
user_1081;2020-01-07;facebook / video;10.25;0
user_1083;2020-01-04;telegram / posts;15.75;0
user_1084;2020-01-10;telegram / posts;15.75;0
user_1086;2020-01-03;yandex / cpc;8.5;0
user_1087;2020-01-03;facebook / video;10.25;0
user_1087;2020-01-04;telegram / posts;15.75;0
user_1087;2020-01-06;yandex / cpc;8.5;0
user_1087;2020-01-10;facebook / video;10.25;0
user_1089;2020-01-03;facebook / video;10.25;0
user_1090;2020-01-03;facebook / video;10.25;0
user_1091;2020-01-05;google / cpc;8.25;0
user_1093;2020-01-04;google / cpc;8.25;0
user_1093;2020-01-09;telegram / posts;15.75;0
user_1094;2020-01-03;google / cpc;8.25;0
user_1094;2020-01-04;facebook / video;10.25;0
user_1095;2020-01-03;yandex / cpc;8.5;0
user_1095;2020-01-04;google / cpc;8.25;167.5
user_1095;2020-01-06;telegram / posts;15.75;0
user_1097;2020-01-04;facebook / video;10.25;0
user_1097;2020-01-19;google / cpc;8.25;215
user_1097;2020-02-10;google / cpc;8.25;0
user_1098;2020-01-07;facebook / video;10.25;0
user_1099;2020-01-04;google / cpc;8.25;0
user_110;2020-01-05;telegram / posts;15.75;0
user_110;2020-01-10;telegram / posts;15.75;122.5
user_1101;2020-01-22;google / cpc;8.25;0
user_1102;2020-01-06;yandex / cpc;8.5;0
user_1103;2020-02-05;google / cpc;8.25;0
user_1105;2020-01-04;facebook / video;10.25;0
user_1105;2020-01-06;yandex / cpc;8.5;0
user_1107;2020-01-11;facebook / video;10.25;0
